d,n,m,i,saf.t
0.4,50,5,10,0.295
0.4,50,5,12,0.256
0.4,50,5,13,0.237
0.4,50,5,15,0.218
0.4,50,5,14,0.221
0.4,50,5,16,0.207
0.4,30,30,21,2.159
0.4,50,5,19,0.149
0.4,50,5,17,0.271
0.4,50,5,22,0.136
0.4,50,5,20,0.151
0.4,50,5,21,0.152
0.4,50,5,23,0.153
0.4,50,5,18,0.259
0.4,50,5,24,0.168
0.4,50,5,26,0.144
0.4,50,5,27,0.169
0.4,50,5,28,0.163
0.4,50,5,29,0.149
0.4,50,5,25,0.219
0.4,30,30,24,2.069
0.4,50,10,1,0.533
0.4,50,10,3,0.562
0.4,50,10,5,0.558
0.4,50,10,2,0.657
0.4,50,10,6,0.591
0.4,30,30,29,2.099
0.4,50,10,4,0.732
0.4,50,10,0,0.998
0.4,30,30,27,1.804
0.4,50,10,7,0.536
0.4,50,10,8,0.568
0.4,50,10,9,0.533
0.4,50,10,10,0.538
0.4,50,10,11,0.678
0.4,30,30,26,3.298
0.4,50,10,13,0.565
0.4,50,10,12,0.541
0.4,50,10,14,0.564
0.4,50,10,17,0.523
0.4,50,10,16,0.568
0.4,50,10,18,0.538
0.4,50,10,19,0.547
0.4,30,30,22,3.48
0.4,50,10,20,0.527
0.4,50,10,21,0.544
0.4,30,30,23,3.287
0.4,50,10,23,0.555
0.4,30,30,25,3.316
0.4,50,10,15,1.002
0.4,50,10,24,0.559
0.4,50,10,25,0.545
0.4,50,10,26,0.526
0.4,30,30,28,3.3
0.4,50,10,28,0.557
0.4,50,10,29,0.545
0.4,50,10,27,0.622
0.4,50,10,22,1.041
0.4,50,20,1,2.067
0.4,50,20,2,2.061
0.4,50,20,7,2.116
0.4,50,20,9,2.132
0.4,50,20,8,2.169
0.4,50,20,12,2.113
0.4,50,20,11,2.152
0.4,50,20,13,2.105
0.4,50,20,4,3.516
0.4,50,20,0,4.232
0.4,50,20,3,4.197
0.4,50,20,6,4.114
0.4,50,20,16,2.136
0.4,50,20,15,2.254
0.4,50,20,5,4.341
0.4,50,20,10,4.289
0.4,50,20,18,2.226
0.4,50,20,17,2.491
0.4,50,20,21,2.081
0.4,50,20,22,2.082
0.4,50,20,20,2.154
0.4,50,20,19,2.736
0.4,50,20,23,2.336
0.4,50,20,28,2.206
0.4,50,20,14,7.196
0.4,50,20,27,2.36
0.4,50,20,24,4.217
0.4,50,20,25,4.094
0.4,50,20,26,4.228
0.4,50,20,29,4.271
0.4,50,30,3,4.929
0.4,50,30,1,4.799
0.4,50,30,5,5.176
0.4,50,30,2,5.671
0.4,50,30,6,5.024
0.4,50,30,4,5.101
0.4,50,30,8,4.643
0.4,50,30,7,5.98
0.4,50,30,10,5.123
0.4,100,30,29,37.219
0.4,50,30,0,9.953
0.4,50,30,15,5.03
0.4,50,30,16,5.106
0.4,50,30,19,4.807
0.4,50,30,18,5.588
0.4,50,30,17,5.127
0.4,50,30,9,9.962
0.4,50,30,20,5.313
0.4,50,30,23,5.154
0.4,50,30,22,5.189
0.4,50,30,21,6.324
0.4,50,30,14,8.698
0.4,50,30,13,9.379
0.4,50,30,11,9.637
0.4,50,30,12,9.651
0.4,50,30,27,4.428
0.4,50,30,24,5.652
0.4,50,30,26,4.596
0.4,50,30,25,4.38
0.4,50,30,28,4.835
0.4,50,30,29,5.265
