d,n,m,i,igapols.ft
0.2,10,10,21,6195
0.2,10,10,20,6104
0.2,10,10,23,5387
0.2,10,10,22,6657
0.2,10,10,24,6181
0.2,10,10,25,6132
0.2,10,10,26,6305
0.2,10,10,27,5640
0.2,10,10,28,5830
0.2,10,10,29,5352
0.2,10,20,0,10651
0.2,10,20,1,10332
0.2,10,20,2,9780
0.2,10,20,3,10137
0.2,10,20,4,11990
0.2,10,20,5,10847
0.2,10,20,6,11238
0.2,10,20,7,10919
0.2,10,20,8,10625
0.2,10,20,9,10211
0.2,10,20,10,10588
0.2,10,20,11,10906
0.2,10,20,12,11429
0.2,10,20,13,11021
0.2,10,20,14,10904
0.2,10,20,15,10603
0.2,10,20,16,10344
0.2,10,20,17,9619
0.2,10,20,18,10820
0.2,10,20,19,9883
0.2,10,20,20,10907
0.2,10,20,21,10236
0.2,10,20,22,9745
0.2,10,20,23,11334
0.2,10,20,24,11391
0.2,10,20,25,10873
0.2,10,20,27,10284
0.2,10,20,26,10994
0.2,10,20,29,10246
0.2,10,20,28,11404
0.2,10,30,0,14342
0.2,10,30,1,14522
0.2,10,30,2,15022
0.2,10,30,3,14365
0.2,10,30,4,13607
0.2,10,30,5,15192
0.2,10,30,6,15446
0.2,10,30,7,14471
0.2,10,30,8,15819
0.2,10,30,9,16281
0.2,10,30,10,16005
0.2,10,30,11,16053
0.2,10,30,12,14613
0.2,10,30,13,14172
0.2,10,30,14,15758
0.2,10,30,15,15152
0.2,10,30,17,14513
0.2,10,30,16,14018
0.2,10,30,18,14450
0.2,10,30,19,15452
0.2,10,30,20,14316
0.2,10,30,21,15301
0.2,10,30,23,14711
0.2,10,30,22,14459
0.2,10,30,24,14145
0.2,10,30,25,14564
0.2,10,30,26,15136
0.2,10,30,27,16058
0.2,10,30,28,15782
0.2,10,30,29,15127
0.2,20,5,1,10982
0.2,20,5,0,10096
0.2,20,5,3,10025
0.2,20,5,2,9980
0.2,20,5,4,10981
0.2,20,5,5,10150
0.2,20,5,6,9880
0.2,20,5,7,11069
0.2,20,5,8,10624
0.2,20,5,9,11288
0.2,20,5,10,9711
0.2,20,5,11,10875
0.2,20,5,12,10591
0.2,20,5,13,10522
0.2,20,5,14,9418
0.2,20,5,15,11655
0.2,20,5,16,9000
0.2,20,5,17,9272
0.2,20,5,18,10414
0.2,20,5,19,10209
0.2,20,5,20,9786
0.2,20,5,21,10837
0.2,20,5,22,10590
0.2,20,5,23,11917
0.2,20,5,24,11271
0.2,20,5,25,8771
0.2,20,5,26,8689
0.2,20,5,27,10152
0.2,20,5,28,9672
0.2,20,5,29,10487
0.2,20,10,0,15784
0.2,20,10,1,14972
0.2,20,10,2,15515
0.2,20,10,3,15607
0.2,20,10,5,14557
0.2,20,10,4,15223
0.2,20,10,7,15400
0.2,20,10,6,16674
0.2,20,10,9,16451
0.2,20,10,8,17271
0.2,20,10,11,14800
0.2,20,10,10,17417
0.2,20,10,12,15028
0.2,20,10,13,16430
0.2,20,10,15,16895
0.2,20,10,14,16494
0.2,20,10,16,16041
0.2,20,10,17,17063
0.2,20,10,18,16048
0.2,20,10,19,16277
0.2,20,10,20,15144
0.2,20,10,21,15580
0.2,20,10,22,14974
0.2,20,10,23,16040
0.2,20,10,25,15706
0.2,20,10,24,17032
0.2,20,10,26,15637
0.2,20,10,27,15735
0.2,20,10,28,17029
0.2,20,10,29,14912
0.2,20,20,1,26450
0.2,20,20,0,26381
0.2,20,20,2,26846
0.2,20,20,3,26861
0.2,100,30,26,380362
0.2,20,20,4,25252
0.2,20,20,5,26559
0.2,20,20,7,25529
0.2,20,20,6,27325
0.2,20,20,8,27827
0.2,20,20,10,25807
0.2,20,20,9,25526
0.2,20,20,11,25459
0.2,20,20,12,26038
0.2,20,20,14,25514
0.2,20,20,13,26788
0.2,20,20,15,26509
0.2,20,20,16,28138
0.2,20,20,17,25375
0.2,20,20,18,26104
0.2,20,20,19,26802
0.2,20,20,20,26591
0.2,20,20,21,25758
0.2,20,20,22,26069
0.2,20,20,23,27065
0.2,20,20,24,25798
0.2,20,20,25,26166
0.2,20,20,26,24991
0.2,100,30,27,380290
0.2,20,20,27,25926
0.2,20,20,28,26519
0.2,20,20,29,26342
0.2,20,30,0,36486
0.2,20,30,1,37322
0.2,20,30,3,36151
0.2,20,30,2,36130
0.2,20,30,4,34598
0.2,20,30,5,36306
0.2,20,30,7,34040
0.2,20,30,6,36740
0.2,100,30,24,373162
0.2,20,30,8,34586
0.2,20,30,10,33957
0.2,20,30,9,35574
0.2,20,30,12,33708
0.2,20,30,11,34386
0.2,20,30,13,34948
0.2,20,30,14,36153
0.2,20,30,15,37091
0.2,20,30,16,37984
0.2,20,30,17,34980
0.2,20,30,18,37016
0.2,20,30,19,37018
0.2,20,30,20,35789
0.2,20,30,21,35316
0.2,20,30,23,35818
0.2,20,30,22,39042
0.2,20,30,26,36107
0.2,20,30,24,35535
0.2,20,30,27,36694
0.2,20,30,25,36997
0.2,20,30,28,35835
0.2,30,5,0,18400
0.2,30,5,1,21963
0.2,30,5,2,20562
0.2,30,5,3,20335
0.2,30,5,4,16364
0.2,20,30,29,35133
0.2,30,5,5,24228
0.2,30,5,7,20492
0.2,30,5,6,21462
0.2,30,5,8,20291
0.2,30,5,9,20825
0.2,30,5,10,19909
0.2,30,5,11,21298
0.2,30,5,12,20427
0.2,30,5,13,19131
0.2,30,5,15,20557
0.2,30,5,14,19378
0.2,30,5,16,19932
0.2,30,5,18,20942
0.2,30,5,17,18972
0.2,30,5,20,19413
0.2,30,5,19,21013
0.2,30,5,21,19029
0.2,30,5,23,20687
0.2,30,5,22,20203
0.2,30,5,24,19395
0.2,30,5,25,17272
0.2,30,5,26,20712
0.2,30,5,28,20725
0.2,30,5,27,18629
0.2,30,5,29,18563
0.2,30,10,0,27751
0.2,30,10,1,28494
0.2,30,10,3,29569
0.2,30,10,4,28360
0.2,30,10,2,28563
0.2,30,10,6,28897
0.2,30,10,7,32381
0.2,30,10,5,29312
0.2,30,10,8,29302
0.2,30,10,9,30272
0.2,30,10,12,27608
0.2,30,10,11,31205
0.2,30,10,10,29812
0.2,30,10,13,28948
0.2,30,10,14,30627
0.2,100,30,25,377432
0.2,30,10,15,29354
0.2,30,10,16,29208
0.2,30,10,17,30088
0.2,30,10,19,28777
0.2,30,10,18,32991
0.2,30,10,20,30317
0.2,30,10,21,28113
0.2,30,10,22,35061
0.2,30,10,23,27317
0.2,30,10,24,30124
0.2,30,10,26,29278
0.2,30,10,25,30019
0.2,30,10,27,30496
0.2,30,10,28,29243
0.2,30,10,29,27764
0.2,30,20,2,47243
0.2,30,20,0,45646
0.2,30,20,4,47525
0.2,30,20,3,44732
0.2,30,20,1,45687
0.2,30,20,5,47302
0.2,30,20,6,48116
0.2,30,20,7,47616
0.2,30,20,8,47380
0.2,30,20,10,46790
0.2,30,20,11,47634
0.2,30,20,9,46276
0.2,30,20,13,48646
0.2,30,20,14,47694
0.2,30,20,12,46436
0.2,30,20,15,48751
0.2,30,20,17,49889
0.2,30,20,16,45867
0.2,30,20,18,46029
0.2,30,20,20,47154
0.2,30,20,19,44726
0.2,30,20,21,45388
0.2,30,20,22,45147
0.2,30,20,23,48951
0.2,30,20,25,47944
0.2,30,20,24,48214
0.2,30,20,26,48365
0.2,30,20,27,44952
0.2,30,20,28,45805
0.2,30,20,29,45980
0.2,100,30,28,378216
0.2,30,30,1,60554
0.2,30,30,2,63712
0.2,30,30,3,61654
0.2,30,30,5,63202
0.2,30,30,6,61469
0.2,30,30,4,64406
0.2,30,30,0,60807
0.2,30,30,8,63283
0.2,30,30,7,60939
0.2,30,30,9,63312
0.2,30,30,10,62283
0.2,30,30,11,62617
0.2,30,30,12,63023
0.2,30,30,14,60672
0.2,30,30,16,62467
0.2,30,30,15,62736
0.2,30,30,18,63162
0.2,30,30,17,62081
0.2,30,30,13,62575
0.2,30,30,19,61312
0.2,30,30,20,61949
0.2,30,30,21,60144
0.2,30,30,22,63513
0.2,30,30,24,62377
0.2,30,30,25,65005
0.2,30,30,26,61420
0.2,30,30,23,59582
0.2,30,30,29,64640
0.2,30,30,28,59666
0.2,30,30,27,62076
0.2,50,5,0,46067
0.2,50,5,2,54519
0.2,50,5,1,44157
0.2,50,5,3,45297
0.2,50,5,4,46219
0.2,50,5,5,44904
0.2,50,5,9,51452
0.2,50,5,6,55259
0.2,50,5,7,54769
0.2,50,5,8,55983
0.2,50,5,10,49140
0.2,50,5,11,46946
0.2,50,5,12,52662
0.2,50,5,13,47776
0.2,50,5,15,54329
0.2,50,5,16,57071
0.2,50,5,17,49329
0.2,50,5,14,53685
0.2,50,5,18,46069
0.2,50,5,19,49362
0.2,50,5,21,50101
0.2,50,5,20,50824
0.2,50,5,22,50344
0.2,50,5,23,52078
0.2,50,5,24,51969
0.2,50,5,25,56639
0.2,50,5,26,53240
0.2,50,5,28,52209
0.2,50,5,27,48019
0.2,50,5,29,55353
0.2,50,10,0,66020
0.2,50,10,1,66298
0.2,50,10,3,65036
0.2,50,10,4,69703
0.2,50,10,2,69685
0.2,50,10,6,69889
0.2,50,10,5,63580
0.2,50,10,7,70288
0.2,50,10,8,66101
0.2,50,10,9,68450
0.2,50,10,10,68706
0.2,50,10,11,65431
0.2,50,10,13,72246
0.2,50,10,12,66075
0.2,50,10,14,67759
0.2,50,10,16,67116
0.2,50,10,17,65634
0.2,50,10,15,65842
0.2,50,10,18,66576
0.2,50,10,19,68057
0.2,50,10,22,69650
0.2,50,10,21,70127
0.2,50,10,23,69136
0.2,50,10,20,67828
0.2,50,10,26,72373
0.2,50,10,24,65267
0.2,50,10,28,66850
0.2,50,10,25,66841
0.2,50,10,27,73422
0.2,50,10,29,70923
0.2,50,20,0,100864
0.2,50,20,1,97212
0.2,100,30,29,374242
0.2,50,20,5,98568
0.2,50,20,4,98477
0.2,50,20,3,98617
0.2,50,20,7,96251
0.2,50,20,2,95878
0.2,50,20,10,101271
0.2,50,20,6,98670
0.2,50,20,12,98080
0.2,50,20,9,98904
0.2,50,20,11,100269
0.2,50,20,8,101315
0.2,50,20,13,100366
0.2,50,20,14,97412
0.2,50,20,16,99477
0.2,50,20,15,95247
0.2,50,20,19,100069
0.2,50,20,17,101728
0.2,50,20,18,98562
0.2,50,20,20,98161
0.2,50,20,21,101772
0.2,50,20,25,98378
0.2,50,20,22,99101
0.2,50,20,27,100114
0.2,50,20,23,97317
0.2,50,20,26,101423
0.2,50,20,24,100337
0.2,50,20,28,103621
0.2,50,20,29,100346
0.2,50,30,2,130152
0.2,50,30,3,131594
0.2,50,30,0,127550
0.2,50,30,4,132454
0.2,50,30,1,131108
0.2,50,30,5,134644
0.2,50,30,6,126309
0.2,50,30,7,126156
0.2,50,30,10,133937
0.2,50,30,8,123887
0.2,50,30,11,128473
0.2,50,30,9,129452
0.2,50,30,14,127698
0.2,50,30,13,125908
0.2,50,30,15,129615
0.2,50,30,18,129903
0.2,50,30,17,122725
0.2,50,30,12,131021
0.2,50,30,16,130324
0.2,50,30,23,127109
0.2,50,30,20,133991
0.2,50,30,21,127248
0.2,50,30,22,126246
0.3,5,5,0,1171
0.3,5,5,1,1058
0.3,5,5,2,1108
0.3,5,5,3,1245
0.3,5,5,4,956
0.3,5,5,5,1002
0.3,5,5,6,1060
0.3,5,5,7,1531
0.3,5,5,8,1138
0.3,5,5,9,1053
0.2,50,30,24,129765
0.3,5,5,10,1092
0.3,5,5,11,805
0.3,5,5,12,1126
0.3,5,5,13,1066
0.3,5,5,14,909
0.3,5,5,15,1004
0.2,50,30,25,126320
0.3,5,5,16,1243
0.3,5,5,17,1187
0.3,5,5,18,1123
0.3,5,5,19,1342
0.3,5,5,20,1513
0.3,5,5,21,1124
0.3,5,5,23,1572
0.3,5,5,22,1236
0.3,5,5,24,1028
0.3,5,5,25,1372
0.3,5,5,26,1380
0.3,5,5,27,1169
0.3,5,5,28,1339
0.3,5,5,29,1003
0.3,5,10,0,1852
0.3,5,10,1,2157
0.3,5,10,2,1658
0.3,5,10,4,2236
0.3,5,10,3,2076
0.3,5,10,5,2330
0.3,5,10,6,2097
0.3,5,10,7,2151
0.3,5,10,8,2483
0.3,5,10,10,2004
0.3,5,10,9,2423
0.3,5,10,11,2244
0.3,5,10,13,2092
0.3,5,10,12,2428
0.3,5,10,14,2335
0.3,5,10,15,2244
0.3,5,10,16,1917
0.3,5,10,17,1860
0.3,5,10,18,2301
0.3,5,10,19,2073
0.3,5,10,20,1949
0.3,5,10,21,2278
0.3,5,10,22,2023
0.3,5,10,23,2124
0.3,5,10,24,2148
0.3,5,10,25,2029
0.3,5,10,26,2139
0.3,5,10,27,2436
0.3,5,10,28,2173
0.3,5,10,29,2488
0.3,5,20,0,4274
0.3,5,20,1,4600
0.3,5,20,2,3435
0.3,5,20,5,4710
0.3,5,20,3,4174
0.3,5,20,4,4433
0.3,5,20,6,3877
0.3,5,20,8,3780
0.3,5,20,7,3469
0.3,5,20,9,3974
0.3,5,20,10,4142
0.3,5,20,11,4001
0.2,50,30,19,122241
0.3,5,20,13,4277
0.3,5,20,12,4190
0.3,5,20,14,4340
0.3,5,20,15,3405
0.3,5,20,17,3631
0.3,5,20,19,4250
0.3,5,20,16,4031
0.3,5,20,18,4537
0.3,5,20,20,4086
0.3,5,20,21,3887
0.3,5,20,22,4399
0.3,5,20,23,3621
0.3,5,20,24,3600
0.3,5,20,26,3767
0.3,5,20,25,4076
0.3,5,20,27,4746
0.3,5,20,28,4049
0.3,5,20,29,4129
0.3,5,30,0,5387
0.3,5,30,2,6234
0.3,5,30,3,5480
0.3,5,30,1,6185
0.3,5,30,4,5986
0.3,5,30,5,5730
0.3,5,30,7,5973
0.3,5,30,6,5985
0.3,5,30,8,6309
0.3,5,30,10,5743
0.3,5,30,9,6022
0.3,5,30,11,5618
0.3,5,30,12,5546
0.3,5,30,13,6565
0.3,5,30,14,6428
0.3,5,30,15,5579
0.3,5,30,16,6111
0.3,5,30,17,5456
0.3,5,30,18,5677
0.3,5,30,19,6044
0.3,5,30,20,5999
0.3,5,30,21,5691
0.3,5,30,23,5056
0.3,5,30,22,5579
0.3,5,30,24,6107
0.3,5,30,25,5990
0.3,5,30,26,5601
0.3,5,30,28,6448
0.3,5,30,27,6309
0.3,5,30,29,5809
0.2,50,30,26,129729
0.2,50,30,27,129453
0.2,50,30,28,127924
0.2,50,30,29,128452
0.3,100,5,0,153831
0.3,100,5,1,157724
0.3,100,5,2,141270
0.3,100,5,3,155329
0.3,100,5,4,143478
0.3,100,5,5,155589
0.3,100,5,6,155371
0.3,100,5,11,144336
0.3,100,5,7,148831
0.3,100,5,9,165575
0.3,100,5,10,149744
0.3,100,5,12,162063
0.3,100,5,8,159943
0.3,100,5,13,149238
0.3,100,5,14,152492
0.3,100,5,15,144343
0.3,100,5,17,153018
0.3,100,5,18,157496
0.3,100,5,16,161131
0.3,100,5,20,148585
0.3,100,5,21,149007
0.3,100,5,22,155478
0.3,100,5,24,154033
0.3,100,5,19,161946
0.3,100,5,23,158626
0.3,100,5,26,155693
0.3,100,5,25,157089
0.3,100,5,28,157978
0.3,100,5,27,151239
0.3,100,10,1,190612
0.3,100,5,29,149289
0.3,100,10,0,189882
0.3,100,10,2,199719
0.3,100,10,5,199702
0.3,100,10,6,209628
0.3,100,10,3,207173
0.3,100,10,10,199751
0.3,100,10,8,195677
0.3,100,10,4,199203
0.3,100,10,9,188823
0.3,100,10,7,195533
0.3,100,10,12,199852
0.3,100,10,16,201963
0.3,100,10,11,199854
0.3,100,10,13,206093
0.3,100,10,15,196355
0.3,100,10,14,198193
0.3,100,10,18,198016
0.3,100,10,20,200960
0.3,100,10,19,199096
0.3,100,10,22,199642
0.3,100,10,23,204192
0.3,100,10,24,191981
0.3,100,10,21,190288
0.3,100,10,25,203712
0.3,100,10,29,191620
0.3,100,10,17,200181
0.3,100,10,26,198944
0.3,100,10,28,197002
0.3,100,10,27,179826
0.3,100,20,0,263884
0.3,100,20,1,269018
0.3,100,20,3,274552
0.3,100,20,6,274646
0.3,100,20,2,266189
0.3,100,20,4,260379
0.3,100,20,9,269511
0.3,100,20,8,263182
0.3,100,20,11,266185
0.3,100,20,12,280467
0.3,100,20,13,271793
0.3,100,20,7,269813
0.3,100,20,5,269891
0.3,100,20,10,265006
0.3,100,20,14,271388
0.3,100,20,16,273388
0.3,100,20,17,275287
0.3,100,20,15,276053
0.3,100,20,20,266857
0.3,100,20,18,260290
0.3,100,20,19,278778
0.3,100,20,21,272236
0.3,100,20,22,266689
0.3,100,20,24,270943
0.3,100,20,25,278692
0.3,100,20,26,265599
0.3,100,20,23,272573
0.3,100,20,27,279460
0.3,100,20,28,264546
0.3,100,20,29,275522
0.3,100,30,2,336733
0.3,100,30,4,334884
0.3,100,30,5,333981
0.3,100,30,1,332550
0.3,100,30,3,342615
0.3,100,30,6,337386
0.3,100,30,10,333198
0.3,100,30,13,330860
0.3,100,30,9,346280
0.3,100,30,8,340644
0.3,100,30,11,325789
0.3,100,30,12,329479
0.3,100,30,0,344711
0.3,100,30,7,336755
0.3,100,30,15,337805
0.3,100,30,14,328492
0.3,100,30,17,336172
0.3,100,30,19,340830
0.3,100,30,18,333790
0.3,100,30,20,333066
0.3,100,30,16,335574
0.3,100,30,24,327478
0.3,100,30,22,332796
0.3,10,5,0,3097
0.3,10,5,1,3206
0.3,10,5,2,2707
0.3,10,5,3,2850
0.3,10,5,4,2537
0.3,10,5,5,3169
0.3,10,5,6,3249
0.3,10,5,7,2423
0.3,10,5,8,3382
0.3,10,5,9,3146
0.3,10,5,10,3106
0.3,10,5,11,3418
0.3,10,5,12,3539
0.3,10,5,13,2744
0.3,10,5,14,3133
0.3,10,5,15,3286
0.3,10,5,16,2968
0.3,10,5,17,3502
0.3,10,5,18,3274
0.3,10,5,19,3361
0.3,10,5,20,2786
0.3,10,5,21,2739
0.3,10,5,22,2777
0.3,10,5,23,3486
0.3,10,5,24,2762
0.3,10,5,25,3137
0.3,10,5,26,3063
0.3,10,5,27,2565
0.3,10,5,28,3585
0.3,10,5,29,3097
0.3,10,10,0,5129
0.3,10,10,1,5030
0.3,10,10,2,4982
0.3,10,10,3,4704
0.3,10,10,4,4739
0.3,10,10,5,4487
0.3,10,10,6,4742
0.3,10,10,7,4857
0.3,10,10,8,5007
0.3,10,10,9,5211
0.3,10,10,10,5553
0.3,10,10,11,5706
0.3,10,10,12,5400
0.3,100,30,21,336848
0.3,10,10,13,5021
0.3,10,10,14,5612
0.3,10,10,15,4731
0.3,10,10,16,5093
0.3,10,10,18,5050
0.3,10,10,17,4826
0.3,10,10,19,5011
0.3,10,10,20,5900
0.3,10,10,22,4942
0.3,10,10,21,5156
0.3,10,10,23,5207
0.3,10,10,24,5283
0.3,10,10,25,5377
0.3,10,10,26,5794
0.3,10,10,27,5134
0.3,10,10,28,5357
0.3,10,10,29,5099
0.3,10,20,0,9656
0.3,10,20,1,9737
0.3,10,20,2,10657
0.3,10,20,3,9813
0.3,10,20,4,8990
0.3,10,20,5,8782
0.3,10,20,6,8588
0.3,10,20,7,8174
0.3,10,20,8,9336
0.3,10,20,9,9084
0.3,10,20,10,9337
0.3,10,20,11,9860
0.3,10,20,12,9900
0.3,10,20,13,8713
0.3,10,20,14,8875
0.3,10,20,15,9739
0.3,10,20,16,8984
0.3,10,20,17,9303
0.3,10,20,18,9414
0.3,10,20,19,9685
0.3,10,20,20,9013
0.3,10,20,21,9851
0.3,10,20,22,9906
0.3,10,20,23,9161
0.3,10,20,24,8841
0.3,10,20,25,9292
0.3,10,20,26,9754
0.3,100,30,23,339312
0.3,10,20,27,9347
0.3,10,20,28,8071
0.3,10,20,29,8565
0.3,10,30,0,13407
0.3,10,30,1,13214
0.3,10,30,2,12870
0.3,10,30,3,13384
0.3,10,30,4,12015
0.3,10,30,5,13218
0.3,10,30,6,13002
0.3,10,30,7,12897
0.3,10,30,8,12976
0.3,10,30,9,12518
0.3,10,30,10,13308
0.3,10,30,11,13432
0.3,10,30,12,12718
0.3,10,30,13,13681
0.3,10,30,14,13986
0.3,10,30,15,12646
0.3,10,30,17,12971
0.3,10,30,16,13388
0.3,10,30,18,13606
0.3,10,30,19,14589
0.3,10,30,20,13114
0.3,10,30,21,13937
0.3,10,30,22,14043
0.3,10,30,23,13052
0.3,10,30,24,14715
0.3,10,30,25,14595
0.3,10,30,26,12672
0.3,10,30,27,13532
0.3,10,30,29,13928
